date,pm25,pm10,o3,no2,so2,co
24/12/2021,33,17,22,5,0,3
25/12/2021,24,25,17,11,0,1
26/12/2021,39,53,10,27,0,6
27/12/2021,82,57,7,30,1,8
28/12/2021,109,44,24,10,0,3
29/12/2021,44,43,26,11,0,2
30/12/2021,47,49,9,29,2,6
31/12/2021,83,55,24,20,2,6
01/01/2022,96,24,19,10,0,2
02/01/2022,47,49,14,21,0,4
01/07/2021,49,24,84,6,0,4
02/07/2021,47,22,74,5,0,5
03/07/2021,37,22,57,7,0,3
04/07/2021,40,33,69,14,1,5
05/07/2021,52,27,79,6,1,5
06/07/2021,54,88,100,12,0,7
07/07/2021,86,36,74,10,1,4
08/07/2021,54,38,105,10,1,5
09/07/2021,63,55,111,12,0,8
10/07/2021,89,46,83,8,2,7
11/07/2021,75,9,25,5,0,4
12/07/2021,23,20,66,8,0,6
13/07/2021,47,31,87,7,0,7
14/07/2021,66,39,69,7,0,8
15/07/2021,77,31,55,6,0,7
16/07/2021,63,25,29,6,0,5
17/07/2021,52,36,30,9,1,6
18/07/2021,75,28,53,8,0,5
19/07/2021,55,33,52,7,0,5
20/07/2021,64,37,37,10,0,5
21/07/2021,60,31,27,14,0,7
22/07/2021,59,33,53,11,0,5
23/07/2021,62,51,67,12,1,5
24/07/2021,88,53,66,11,1,5
25/07/2021,88,53,70,9,1,5
26/07/2021,85,22,34,9,0,6
27/07/2021,52,23,29,12,0,7
28/07/2021,52,21,26,9,0,6
29/07/2021,48,13,35,6,0,4
30/07/2021,30,38,105,10,1,6
31/07/2021,64,18,36,5,1,2
01/08/2021,23,18,51,6,0,3
02/08/2021,17,38,79,6,1,7
03/08/2021,58,44,81,8,0,7
04/08/2021,96,43,85,10,0,6
05/08/2021,85,39,83,10,0,5
06/08/2021,91,60,110,11,0,6
07/08/2021,137,66,92,15,0,7
08/08/2021,118,25,93,6,0,5
09/08/2021,55,34,87,10,0,5
10/08/2021,59,53,75,13,0,9
11/08/2021,94,47,73,8,0,9
12/08/2021,86,39,72,9,0,6
13/08/2021,69,38,55,7,0,5
14/08/2021,76,37,45,10,0,5
15/08/2021,71,41,51,10,0,7
16/08/2021,80,26,51,6,1,4
17/08/2021,40,33,52,10,0,5
18/08/2021,60,26,35,8,0,5
19/08/2021,59,23,56,7,1,5
20/08/2021,36,30,56,10,1,4
21/08/2021,46,62,68,10,0,8
22/08/2021,109,46,68,5,0,6
